# C1 second examples + synonyms — batch 04 (106 cards)
die Reform	Die Reform tritt zum ersten Januar in Kraft.	The reform comes into force on the first of January.	Neuregelung
die Mehrheit	Die Mehrheit der Befragten lehnt den Vorschlag ab.	The majority of respondents reject the proposal.
die Debatte	Nach zwei Stunden Debatte wurde endlich abgestimmt.	After two hours of debate a vote was finally held.	Diskussion|Streitgespräch
verabschieden	Das Parlament verabschiedete den Haushalt in dritter Lesung.	Parliament passed the budget at its third reading.	beschließen
regeln	Wer die Kosten trägt, regelt der Vertrag in Paragraf drei.	Who bears the costs is regulated in clause three of the contract.	festlegen|bestimmen
umstritten	Der Nutzen des Verfahrens ist unter Fachleuten umstritten.	The usefulness of the procedure is disputed among experts.	strittig|kontrovers
einflussreich	Sie gilt als die einflussreichste Stimme der Branche.	She is regarded as the most influential voice in the industry.	mächtig|maßgeblich
die Errungenschaft	Die Fünftagewoche war eine hart erkämpfte Errungenschaft.	The five-day week was a hard-won achievement.	Fortschritt|Leistung
die Beeinträchtigung	Nach der Operation blieb eine leichte Beeinträchtigung des Gehörs.	After the operation a slight impairment of hearing remained.	Einschränkung
die Diskrepanz	Die Diskrepanz zwischen den Messwerten blieb unerklärt.	The discrepancy between the measurements remained unexplained.	Abweichung|Widerspruch
die Ambivalenz	Die Ambivalenz der Hauptfigur macht den Roman interessant.	The ambivalence of the main character makes the novel interesting.
die Kohärenz	Zwischen den einzelnen Kapiteln fehlt jede Kohärenz.	Between the individual chapters there is no coherence at all.	Zusammenhang|Stimmigkeit
die Plausibilität	Die Plausibilität einer Zahl ersetzt keinen Beweis.	The plausibility of a figure is no substitute for proof.
die Souveränität	Mit dem Beitritt gibt ein Land Teile seiner Souveränität ab.	By joining, a country gives up part of its sovereignty.	Eigenständigkeit
die Legitimität	Ohne freie Wahlen fehlt einer Regierung jede Legitimität.	Without free elections a government has no legitimacy at all.	Rechtmäßigkeit
die Nachhaltigkeit	Die Nachhaltigkeit des Erfolgs zeigt sich erst in einigen Jahren.	The sustainability of the success will only show in a few years.
die Wechselwirkung	Die beiden Medikamente können in Wechselwirkung treten.	The two medications can interact with each other.	Zusammenspiel
die Rahmenbedingung	Unter diesen Rahmenbedingungen ist kein Gewinn möglich.	Under these framework conditions no profit is possible.	Voraussetzung
der Spielraum	Beim Preis haben wir noch etwas Spielraum.	On price we still have some leeway.	Handlungsspielraum|Freiraum
die Reichweite	Die Reichweite des Elektroautos sinkt bei Kälte deutlich.	The electric car's range drops considerably in cold weather.
der Stellenwert	Der Stellenwert des Ehrenamts wird häufig unterschätzt.	The significance of voluntary work is frequently underestimated.	Bedeutung
die Tragweite	Die Tragweite des Urteils zeigt sich erst in künftigen Verfahren.	The significance of the ruling will only emerge in future proceedings.	Konsequenz
das Ausmaß	In diesem Ausmaß hatte niemand mit Protesten gerechnet.	Nobody had reckoned with protests on this scale.	Umfang|Größe
die Vorgehensweise	Über die Vorgehensweise waren sich die Beteiligten uneins.	Those involved disagreed about the approach.	Verfahren|Methode
die Herangehensweise	Seine Herangehensweise wirkt naiv, ist aber wirksam.	His approach seems naive but is effective.	Ansatz
die Grauzone	Zwischen Geschenk und Bestechung liegt eine Grauzone.	Between a gift and a bribe lies a grey area.
die Gratwanderung	Der Film ist eine Gratwanderung zwischen Komik und Ernst.	The film is a balancing act between comedy and seriousness.	Balanceakt
die Zwangsläufigkeit	Mit einer gewissen Zwangsläufigkeit endete das Projekt im Streit.	With a certain inevitability the project ended in a dispute.
die Beliebigkeit	Der Beliebigkeit der Auswahl setzte sie feste Kriterien entgegen.	She countered the arbitrariness of the selection with fixed criteria.	Willkür
der Konsens	Der Konsens hielt genau bis zur ersten Abstimmung.	The consensus lasted precisely until the first vote.	Einigkeit|Übereinstimmung
die Zuversicht	Auch nach dem Rückschlag verlor er die Zuversicht nicht.	Even after the setback he did not lose confidence.	Optimismus|Hoffnung
die Gelassenheit	Sie nahm die Kritik mit bemerkenswerter Gelassenheit auf.	She received the criticism with remarkable composure.	Ruhe|Besonnenheit
die Hartnäckigkeit	Mit einiger Hartnäckigkeit bekam sie doch noch einen Termin.	With some persistence she did get an appointment after all.	Ausdauer
