# C1 second examples + synonyms — batch 01 (120 cards)
# term <TAB> de <TAB> en [<TAB> syn|syn]
die Fragestellung	Zu Beginn muss die Fragestellung klar eingegrenzt werden.	At the outset the research question has to be clearly delimited.	Forschungsfrage|Problemstellung
die These	Er stellte die gewagte These auf, dass Sprache das Denken formt.	He advanced the bold thesis that language shapes thought.	Behauptung|Annahme
die Stichprobe	Die Stichprobe umfasst 500 zufällig ausgewählte Haushalte.	The sample comprises 500 randomly selected households.
die Auswertung	Die Auswertung erfolgt anonymisiert und nach festen Kriterien.	The analysis is carried out anonymously and according to fixed criteria.	Analyse
die Erkenntnis	Aus dieser Erkenntnis folgt eine völlig neue Praxis.	A completely new practice follows from this insight.	Einsicht|Befund
die Quellenangabe	Jedes Zitat braucht eine korrekte Quellenangabe im Text.	Every quotation needs a correct citation in the text.	Beleg|Literaturangabe
herleiten	Woraus leitest du diesen Anspruch her?	What are you deriving this claim from?	ableiten
nachvollziehbar	Aus nachvollziehbaren Gründen wollte sie anonym bleiben.	For understandable reasons she wanted to remain anonymous.	verständlich|einleuchtend
fundiert	Sie äußert sich nur zu Themen, die sie fundiert beurteilen kann.	She only comments on topics she can judge on a sound basis.	solide|begründet
die Integrität	Er galt als Beamter von untadeliger Integrität.	He was regarded as a civil servant of unimpeachable integrity.	Redlichkeit|Unbestechlichkeit
das Plagiat	Die Software prüft jede Abschlussarbeit auf Plagiate.	The software checks every thesis for plagiarism.
die Verzerrung	Die gestauchte Achse erzeugt eine optische Verzerrung.	The compressed axis creates a visual distortion.	Verfälschung
der Interessenkonflikt	Wegen eines möglichen Interessenkonflikts zog sich der Gutachter zurück.	The reviewer withdrew because of a possible conflict of interest.
die Transparenz	Die Behörde verspricht mehr Transparenz bei der Vergabe von Aufträgen.	The authority promises more transparency in awarding contracts.	Offenheit|Nachvollziehbarkeit
manipulieren	Mit gezielten Falschmeldungen lässt sich die öffentliche Meinung manipulieren.	Public opinion can be manipulated with targeted false reports.	verfälschen|beeinflussen
fälschen	Er hatte die Unterschrift seines Vorgesetzten gefälscht.	He had forged his superior's signature.	verfälschen|manipulieren
fragwürdig	Mit fragwürdigen Methoden verschaffte er sich einen Vorsprung.	He gained an advantage using questionable methods.	zweifelhaft|bedenklich
die Wissenschaftskommunikation	An der Universität entsteht ein neues Institut für Wissenschaftskommunikation.	A new institute for science communication is being set up at the university.
der Laie	Als medizinischer Laie sollte man solche Symptome nicht selbst deuten.	As a medical layperson you shouldn't interpret such symptoms yourself.
die Skepsis	Der Vorschlag stieß im Kollegium auf breite Skepsis.	The proposal met with widespread scepticism among the staff.	Zweifel|Misstrauen
die Verständlichkeit	An der Verständlichkeit der Anleitung muss noch gearbeitet werden.	The clarity of the instructions still needs work.	Klarheit
die Förderung	Sie bewarb sich um eine Förderung für ihr Promotionsvorhaben.	She applied for funding for her doctoral project.	Unterstützung|Subvention
vermitteln	Der Kurs vermittelt vor allem praktische Fertigkeiten.	The course conveys practical skills above all.	beibringen|weitergeben
anerkannt	Er ist ein international anerkannter Experte für Halbleiter.	He is an internationally recognised expert on semiconductors.	angesehen|renommiert
allgemeinverständlich	Die Broschüre fasst die Rechtslage allgemeinverständlich zusammen.	The brochure summarises the legal situation in terms everyone can understand.	verständlich
der Wortschatz	Fachtexte zu lesen erweitert den Wortschatz schneller als jede Vokabelliste.	Reading specialist texts expands your vocabulary faster than any word list.	Vokabular
die Grammatik	In der Prüfung zählt die Grammatik ebenso wie der Ausdruck.	In the exam, grammar counts as much as expression.
die Aussprache	Die Aussprache des Wortes weicht deutlich von der Schreibung ab.	The pronunciation of the word differs markedly from its spelling.	Artikulation
der Dialekt	Sie wechselt mühelos zwischen Dialekt und Hochdeutsch.	She switches effortlessly between dialect and standard German.	Mundart
die Muttersprache	Für viele Kinder in der Klasse ist Deutsch nicht die Muttersprache.	For many children in the class German is not their native language.	Erstsprache
die Sprachkompetenz	Die Sprachkompetenz der Bewerber wird in einem Gespräch geprüft.	Applicants' language competence is assessed in an interview.
erwerben	Im Ausland erwarb sie in kurzer Zeit ein sicheres Sprachgefühl.	Abroad she acquired a reliable feel for the language in a short time.	aneignen|erlangen
fließend	Sie liest fließend, muss beim Sprechen aber noch überlegen.	She reads fluently but still has to think when speaking.	flüssig
die Andeutung	Aus ihren Andeutungen schloss er, dass etwas nicht stimmte.	From her hints he concluded that something was wrong.	Anspielung|Hinweis
der Tonfall	In sachlichem Tonfall trug er seine Beschwerde vor.	He presented his complaint in a matter-of-fact tone.	Ton|Tonlage
die Höflichkeit	Höflichkeit heißt nicht, allem zuzustimmen.	Politeness does not mean agreeing to everything.	Zuvorkommenheit|Anstand
das Missverständnis	Es handelte sich um ein Missverständnis, nicht um bösen Willen.	It was a misunderstanding, not ill will.	Irrtum
die Anspielung	Die Anspielung auf seinen Vorgänger überhörte er geflissentlich.	He pointedly ignored the allusion to his predecessor.	Andeutung
andeuten	Er deutete mit keinem Wort an, wie schwierig die Lage war.	He gave no hint of how difficult the situation was.
umschreiben	Sie umschrieb das Problem so höflich, dass niemand es verstand.	She paraphrased the problem so politely that nobody understood it.	paraphrasieren
missverständlich	Der Satz ist missverständlich, weil sich das Pronomen auf beides beziehen kann.	The sentence is ambiguous because the pronoun can refer to either.	mehrdeutig|unklar
implizit	Im Vertrag ist diese Pflicht nur implizit enthalten.	In the contract this obligation is only implicitly contained.	stillschweigend
die Amtssprache	Vor Gericht wird ausschließlich in der Amtssprache verhandelt.	Court proceedings are conducted exclusively in the official language.
die Sprachpflege	Sprachpflege gerät leicht zur Bevormundung.	Language preservation easily turns into paternalism.
der Anglizismus	In der Werbebranche häufen sich die Anglizismen.	Anglicisms are piling up in the advertising industry.
die Sprachvielfalt	Der Unterricht soll die Sprachvielfalt der Klasse als Ressource nutzen.	Teaching should use the class's linguistic diversity as a resource.
der Sprachverfall	Was Kritiker Sprachverfall nennen, ist meist schlicht Sprachwandel.	What critics call language decline is usually simply language change.
bewahren	Das Archiv bewahrt Tonaufnahmen aus dem letzten Jahrhundert.	The archive preserves sound recordings from the last century.	erhalten|schützen
aussterben	Ohne junge Sprecher stirbt der Dialekt in einer Generation aus.	Without young speakers the dialect will die out within a generation.	verschwinden
normativ	Die moderne Grammatik beschreibt, statt normativ vorzuschreiben.	Modern grammar describes rather than prescribing normatively.	vorschreibend
die Norm	Wer von der Norm abweicht, muss mit Nachfragen rechnen.	Anyone who deviates from the norm has to expect questions.	Regel|Standard
die Überzeugung	Ich bin der festen Überzeugung, dass sich der Aufwand lohnt.	I am firmly convinced that the effort is worth it.	Ansicht|Haltung
die Selbstverwirklichung	Der Beruf soll Broterwerb und Selbstverwirklichung zugleich sein.	A job is supposed to be both a livelihood and self-realisation.
das Traditionsbewusstsein	Ihr Traditionsbewusstsein hindert sie nicht daran, Neues auszuprobieren.	Her sense of tradition doesn't stop her from trying new things.
der Umbruch	Nach dem politischen Umbruch veränderte sich das Land rasant.	After the political upheaval the country changed rapidly.	Wandel|Wende
sich wandeln	Die Innenstadt hat sich in wenigen Jahren völlig gewandelt.	The city centre has changed completely within a few years.	verändern
überholt	Die Anlage ist nach zehn Jahren technisch überholt.	After ten years the plant is technically outdated.	veraltet
die Generationengerechtigkeit	Wer heute Schulden macht, muss über Generationengerechtigkeit sprechen.	Anyone taking on debt today has to talk about intergenerational justice.
die Babyboomer	Die Babyboomer prägen den Wohnungsmarkt bis heute.	The baby boomers shape the housing market to this day.
der Zeitgeist	Was als mutig gilt, hängt stark vom Zeitgeist ab.	What counts as courageous depends heavily on the spirit of the age.
die Lebensweise	Eine bewusste Lebensweise senkt das Krankheitsrisiko deutlich.	A mindful way of life significantly lowers the risk of illness.	Lebensstil
die Kluft	Eine kulturelle Kluft trennt die beiden Landesteile.	A cultural divide separates the two parts of the country.	Graben
sich entfremden	Durch die Jahre im Ausland entfremdete er sich seiner Heimat.	Through the years abroad he became estranged from his homeland.
prägend	Ihre Großmutter war die prägende Figur ihrer Kindheit.	Her grandmother was the defining figure of her childhood.	bestimmend
die Bürgerinitiative	Die Bürgerinitiative sammelte über dreitausend Unterschriften.	The citizens' initiative collected over three thousand signatures.
die Spende	Für Spenden über 300 Euro stellen wir eine Bescheinigung aus.	For donations over 300 euros we issue a receipt.	Zuwendung
der Protest	Aus Protest gegen die Kürzungen trat sie zurück.	She resigned in protest against the cuts.	Widerstand|Einspruch
die Mitbestimmung	Ohne Mitbestimmung fühlt sich niemand für das Ergebnis verantwortlich.	Without participation nobody feels responsible for the outcome.	Mitsprache
sich engagieren	Er engagiert sich ehrenamtlich in der Nachbarschaftshilfe.	He is involved as a volunteer in neighbourhood assistance.	mitwirken
sich einsetzen für	Die Abgeordnete setzt sich seit Jahren für bessere Radwege ein.	The MP has been advocating for better cycle paths for years.	eintreten
gemeinnützig	Gemeinnützige Vereine sind von der Körperschaftsteuer befreit.	Non-profit associations are exempt from corporation tax.
engagiert	Sie diskutierten engagiert bis spät in die Nacht.	They debated with commitment until late into the night.
der Empfänger	Bitte prüfen Sie, ob beim Empfänger die richtige Adresse hinterlegt ist.	Please check whether the correct address is stored for the recipient.	Adressat
der Betreff	Im Betreff sollte das Aktenzeichen stehen.	The file reference should appear in the subject line.
die Anrede	Nach der Anrede folgt im Deutschen ein Komma.	In German a comma follows the salutation.
die Anlage	Alle Zeugnisse sind der Bewerbung als Anlage beigefügt.	All certificates are attached to the application as enclosures.	Anhang|Beilage
das Protokoll	Das Protokoll der letzten Sitzung wurde einstimmig genehmigt.	The minutes of the last meeting were approved unanimously.	Niederschrift
formulieren	Der Antrag ist zu vage formuliert.	The application is worded too vaguely.	abfassen|ausdrücken
das Anliegen	Mit diesem Anliegen sind Sie hier leider falsch.	I'm afraid you've come to the wrong place with this request.	Bitte|Wunsch
das Argument	Er ging auf kein einziges Argument der Gegenseite ein.	He did not address a single argument from the other side.	Begründung
der Einwand	Wenn Sie keine Einwände haben, fahren wir fort.	If you have no objections, we will continue.	Bedenken|Widerspruch
das Zugeständnis	Das Zugeständnis kam zu spät, um den Streik abzuwenden.	The concession came too late to avert the strike.	Entgegenkommen
der Standpunkt	Von meinem Standpunkt aus sieht die Sache anders aus.	From my standpoint the matter looks different.	Position|Haltung
